"rain" "evaporation" "flow"
"177" 0.0197 1.8039 4.4182757
"178" 40.0335 0.5286 4.2174424
"179" 11.0029 1.3183 7.3679743
"180" 7.6766 0.7211 7.1420434
"181" 95.4076 1.0108 7.3679743
"182" 4.8278 3.5503 22.216893
"183" 0 3.9553 26.861095
"184" 0 0.9798 19.832021
"185" 0.126 1.4095 11.52266
"186" 1.8052 1.275 4.9203502
"187" 0.771 1.8708 3.3513608
"188" 2.2503 5.6869 2.6359043
"189" 0 5.5468 2.0083067
"190" 0 2.402 1.6317509
"191" 0 1.5459 1.4183688
"192" 20.9624 0.6186 1.2928457
"193" 8.1746 2.0216 1.7823715
"194" 10.3151 0.97 2.6359043
"195" 0.2592 4.199 3.6651596
"196" 0 5.0634 3.8408865
"197" 0 3.8558 3.2007402
"198" 0 5.1282 2.1338254
"199" 0 5.3472 1.3681605
"200" 0 5.9812 1.1422252
"201" 0 3.6978 1.0317686
"202" 5.135 1.1231 0.94390514
"203" 7.0538 0.6474 0.94390514
"204" 11.9534 0.3719 1.0769548
"205" 0 1.5728 1.3430541
"206" 0 3.4343 1.8200266
"207" 0 5.5493 1.3932624
"208" 0.1731 1.9749 1.0982934
"209" 16.0607 1.0298 1.0982934
"210" 6.1715 1.7354 1.4685727
"211" 12.1017 1.8725 1.6317509
"212" 19.0904 1.805 1.7572695
"213" 56.6814 1.4474 5.9245035
"214" 5.5019 1.6798 15.689889
"215" 0 5.634 13.681582
"216" 0 5.6924 11.183759
"217" 0 5.8792 7.2550089
"218" 0 6.716 3.4266755
"219" 0 5.7257 2.3848626
"220" 0 6.2085 1.6317509
"221" 5.1269 3.3384 1.1861569
"222" 0 3.6174 1.1422252
"223" 0 6.0046 0.94390514
"224" 0 4.9294 0.85604167
"225" 0 6.23 0.79077128
"226" 0 5.8792 0.73428635
"227" 0 6.2412 0.67780142
"228" 0 6.5135 0.64014628
"229" 0 5.78 0.62132092
"230" 0 5.6402 0.58366578
"231" 0 6.4199 0.56483599
"232" 0 3.5544 0.52718085
"233" 0 3.2687 0.50835106
"234" 0 4.4811 0.48952571
"235" 0 3.0775 0.47446365
"236" 0.9236 3.9847 0.45187057
"237" 0 6.2762 0.44182624
"238" 0 2.1173 0.42048759
